,Tex abr,Tex. Name,Sand Tt (%),Sand (percent fraction of Tt sand).V coarse,Sand (percent fraction of Tt sand).Coarse,Sand (percent fraction of Tt sand).Med,Sand (percent fraction of Tt sand).Fine,Sand (percent fraction of Tt sand).V fine,Silt (%),Clay (%),BD (g/cm)
0,SiC,Silty clay,7,1,2,2,1,1,48,45,1.22
1,CL,Clay loam,33,6,6,7,7,7,34,33,1.32
2,SiCL,Silty clay loam,11,2,2,2,2,3,56,33,1.28
3,C,Clay,18,3,3,4,4,4,17,65,1.21
4,SC,Sandy clay,53,10,10,11,11,11,7,40,1.33
5,L,Loam,41,8,8,8,8,9,41,18,1.43
6,SiL,Silt loam,21,4,4,5,4,4,66,13,1.44
7,SL,Sandy loam,65,11,11,11,16,16,24,11,1.55
8,CosSL,Coarse sandy loam,63,15,30,6,6,6,27,10,1.55
9,FSL,Fine sandy loam,63,5,6,6,31,15,27,10,1.55
10,SCL,Sandy clay loam,63,11,11,11,15,15,27,10,1.41
11,VFSL,Very fine sandy loam,63,2,3,3,18,37,27,10,1.55
12,Si,Silt,7,1,1,2,2,1,88,5,1.48
13,LFS,Loamy fine sand,83,7,7,7,55,7,12,5,1.67
14,LCosS,Loamy coarse sand,83,16,16,17,17,17,12,5,1.64
15,FS,Fine sand,93,7,7,8,60,11,4,3,1.67
16,LS,Loamy sand,83,10,10,10,23,30,12,5,1.64
17,S,Sand,93,20,20,20,15,18,4,3,1.67
18,LVFS,Loamy very fine sand,83,5,5,5,8,60,12,5,1.64
19,VFS,Very fine sand,93,3,4,4,22,60,4,3,1.67
